	exprs
AADACP1	0.0
A1CF	0.0
A2M	0.0
A2M-AS1	0.0
AADACL4	0.0
A2ML1-AS1	0.0
AADACL3	0.0
A2ML1-AS2	0.0
A2MP1	0.0
AADACL2-AS1	0.0
A4GNT	0.0
AADAC	0.0
A4GALT	1.0
AADACL2	1.0
ABCG2	1.0
ABCC6P1	1.0
ABCC6	1.0
ABCF2P1	1.0
A3GALT2	1.0
ABCA12	1.584962500721156
AADAT	1.584962500721156
ABHD1	2.321928094887362
ABAT	2.807354922057604
AC000093.1	3.584962500721156
AB015752.1	3.700439718141092
AC004076.2	4.584962500721156
ABR	4.643856189774724
AC005291.2	5.321928094887363
ABCB4	6.0
AC004967.1	6.108524456778169
AC019205.1	6.129283016944966
AC004461.2	6.22881869049588
AC090114.3	6.285402218862249
AARSD1	6.845490050944375
AC009113.1	6.882643049361842
AC010680.2	6.954196310386875
AL162231.2	7.066089190457772
ANO8	7.523561956057013
ALG12	8.550746785383243
C1GALT1C1	8.89178370321831
DOT1L	9.642051692927977
ADAL	10.107217075591382
FANCE	10.16867211813223
CCDC6	10.376125389276174
BAZ2B	10.668884984266247
AL391244.1	10.769011321097015
CHD7	10.930737337562887
VAMP8	10.982280604558284
MMS19	11.205182326228643
HIST1H2AH	14.104025361631415
