	exprs
LUM	0.0
PRR23A	0.0
AC099681.2	0.0
RNU6-1113P	0.0
AC025857.1	0.0
AC245291.1	0.0
AHCYP3	0.0
AC110760.3	0.0
CYP2A7	0.0
UBE2V1P11	0.0
AL359641.1	0.0
RNA5SP333	0.0
MYBPH	1.0
BX679664.2	1.0
AC025165.3	1.0
RPL7P42	1.0
AC020917.3	1.0
AC118755.2	1.0
OR10AB1P	1.0
AC016582.3	1.584962500721156
AC078881.1	1.584962500721156
RPL7P4	2.321928094887362
CT47B1	2.807354922057604
RPL29P24	3.584962500721156
GRIP1	3.700439718141092
AC005540.1	4.584962500721156
PGM5	4.643856189774724
RIN1	5.321928094887363
AL162586.1	6.0
LINC00885	6.108524456778169
IFNAR2	6.129283016944966
JMJD1C-AS1	6.22881869049588
AL118508.3	6.285402218862249
ADAT3	6.845490050944375
AC108010.1	6.882643049361842
ZNF320	6.954196310386875
AP005328.1	7.066089190457772
TRAM2-AS1	7.523561956057013
RGS12	8.550746785383243
RIPK2	8.89178370321831
TWNK	9.642051692927977
PGP	10.107217075591382
CUL7	10.16867211813223
TSSC4	10.376125389276174
TRNT1	10.668884984266247
MINPP1	10.769011321097015
E2F3	10.930737337562887
S100PBP	10.982280604558284
ITGAV	11.205182326228643
YBX1	14.100990784092762
