Geneid	ENCFF630HEX_Total_RNAseq_K562.bam
DDX11L1	0
DDX11L1	0
DDX11L1	0
WASH7P	69
MIR6859-1	12
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
AL627309.1	74
AL627309.3	0
CICP27	0
AL627309.6	0
AL627309.7	0
AL627309.2	0
AL627309.5	11
RNU6-1100P	0
AL627309.4	0
FO538757.2	4
FO538757.1	66
MIR6859-2	0
AP006222.1	127
RPL23AP24	0
AL732372.1	0
AL732372.2	14
WBP1LP7	0
OR4F29	0
CICP7	0
AL732372.3	0
RF00026	6
AL669831.3	5
AC114498.1	0
MTND1P23	0
MTND2P28	52
MTCO1P12	50
MIR6723	1
MTCO2P12	3
MTATP8P1	0
MTATP6P1	78
MTCO3P12	0
WBP1LP6	0
OR4F16	0
CICP3	0
AL669831.1	57
RNU6-1199P	0
AL669831.2	0
AL669831.5	43
AL669831.7	0
AL669831.4	10
FAM87B	0
LINC01128	422
LINC00115	59
FAM41C	0
TUBB8P11	2
AL669831.6	0
AL645608.7	0
AL645608.3	6
AL645608.5	0
AL645608.1	18
SAMD11	19
NOC2L	12274
KLHL17	571
PLEKHN1	7
PERM1	0
AL645608.8	10
HES4	185
ISG15	469
AL645608.4	0
AL645608.2	1
AGRN	2426
AL645608.6	0
AL390719.1	70
AL645608.9	2
RNF223	2
C1orf159	833
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
AL390719.2	0
TTLL10-AS1	0
TTLL10	1
TNFRSF18	0
TNFRSF4	3
SDF4	4026
B3GALT6	976
C1QTNF12	21
AL162741.1	5
UBE2J2	1678
LINC01786	12
SCNN1D	47
ACAP3	1144
MIR6726	0
PUSL1	1139
INTS11	2898
MIR6727	0
AL139287.1	29
CPTP	379
TAS1R3	7
DVL1	3884
MIR6808	0
MXRA8	105
AURKAIP1	4195
NDUFB4P8	3
CCNL2	4675
AL391244.1	1744
MRPL20	3322
RN7SL657P	0
AL391244.3	119
ANKRD65	0
AL391244.2	0
TMEM88B	0
LINC01770	15
VWA1	152
ATAD3C	1
ATAD3B	3341
AL645728.2	4
ATAD3A	2818
TMEM240	8
SSU72	4093
AL645728.1	38
AL691432.3	0
FNDC10	44
AL691432.2	157
MIB2	494
MMP23B	2
CDK11B	582
FO704657.1	9
SLC35E2B	1444
AL691432.1	0
MMP23A	0
CDK11A	155
AL031282.2	110
AL031282.1	3
SLC35E2A	488
NADK	2923
GNB1	3630
