feature_type	nb_intersections_expectation_shuffled	nb_intersections_variance_shuffled	nb_intersections_negbinom_fit_quality	nb_intersections_log2_fold_change	nb_intersections_true	nb_intersections_pvalue	summed_bp_overlaps_expectation_shuffled	summed_bp_overlaps_variance_shuffled	summed_bp_overlaps_negbinom_fit_quality	summed_bp_overlaps_log2_fold_change	summed_bp_overlaps_true	summed_bp_overlaps_pvalue	combination_order	nb_intersections_empirical_pvalue	summed_bp_overlaps_empirical_pvalue	beta_summed_bp_overlaps_pvalue_ad_hoc_for_deep_sampling_only
gene	76.95	272.77	0.85055	4.5702	1828	7.418E-216	65501.64	296918076.91	0.86113	4.40563	1388283	1.357E-110	1	0	0	1.357E-110
transcript	76.27	275.82	0.82679	4.5831	1828	2.737E-211	64486.4	251849488.32	0.90181	4.42816	1388283	2.911E-128	1	0	0	2.911E-128
exon	36.02	85.17	0.8583	5.34969	1469	1.979E-306	9777.75	12778776.79	0.86365	5.546	456826	2.421E-139	1	0	0	2.421E-139
five_prime_utr	10.54	19.18	0.90906	6.45638	926	2.078E-298	1590.76	756577.58	0.87244	6.96395	198592	1.516E-176	1	0	0	1.516E-176
CDS	28.62	66.19	0.86863	4.77207	782	5.29E-160	3812.84	1571120.76	0.8525	4.93662	116767	1.682E-108	1	0	0	1.682E-108
start_codon	3.8	5.2	0.90883	6.95664	472	1.872E-252	11.3	47.26	0.57227	6.96629	1413	1.27E-162	1	0	0	1.27E-162
stop_codon	5.35	7.64	0.87089	4.18037	97	1.027E-38	15.81	67.19	0.81096	4.16144	283	4.991E-28	1	0	0	4.991E-28
three_prime_utr	19.2	36.95	0.8782	3.18855	175	1.531E-35	6275.06	8810759.22	0.89618	2.67439	40058	4.609E-09	1	0	0	4.609E-09
Selenocysteine	0	0	-1	0	1	-1	0	0	-1	0	3	-1	1	0	0	-1
Intergenic	1914.13	299.87	0.63665	-1.5828	639	1.424E-251	1645258.67	321216951.5	0.87018	-2.16083	367924	0	1	0	0	0
Introns	138	408.26	0.88061	3.95212	2136	1.424E-283	95840.02	257038386.61	0.8664	3.28079	931457	7.013E-103	1	0	0	7.013E-103
Promoters	15.78	29.26	0.87005	6.32147	1262	0	10479.66	16994635.43	0.86389	6.80489	1171714	2.037E-301	1	0	0	2.037E-301
Terminator	19.31	44.46	0.85579	4.47692	430	1.463E-86	12917.92	26588404.29	0.86667	4.48726	289730	8.343E-53	1	0	0	8.343E-53
