feature_type	nb_intersections_expectation_shuffled	nb_intersections_variance_shuffled	nb_intersections_negbinom_fit_quality	nb_intersections_log2_fold_change	nb_intersections_true	nb_intersections_pvalue	summed_bp_overlaps_expectation_shuffled	summed_bp_overlaps_variance_shuffled	summed_bp_overlaps_negbinom_fit_quality	summed_bp_overlaps_log2_fold_change	summed_bp_overlaps_true	summed_bp_overlaps_pvalue
gene	1085.48	2756.64	0.87415	0.72485	1794	6.664e-32	880705.06	2502555385.78	0.84061	0.64695	1379052	6.16e-18
transcript	1077.23	2637.25	0.87725	0.73585	1794	6.543000000000001e-34	871374.93	2354520285.59	0.86969	0.66231	1379052	1.873e-19
exon	271.76	535.61	0.83486	2.39157	1426	3.401e-193	64339.15	50763476.67	0.88695	2.3436	326565	1.538e-89
CDS	133.06	315.08	0.88745	2.36192	684	1.2899999999999999e-74	19766.39	11385110.32	0.86794	2.4559	108449	4.526e-44
start_codon	15.57	14.57	0.82679	4.62427	384	8.513e-297	46.45	130.21	0.78304	4.62856	1149	4.248e-181
stop_codon	15.08	15.81	0.79935	1.81336	53	6.578e-14	45.09	140.65	0.79651	1.80921	158	7.521e-11
five_prime_utr	28.13	38.86	0.87325	4.62059	692	4.279e-295	3366.05	1335307.03	0.90337	5.05241	111699	6.399999999999999e-109
three_prime_utr	41.44	72.82	0.88524	1.28543	101	1.475e-08	17650.66	23424886.22	0.88424	0.5976	26709	0.04355
Intergenic	2370.62	2658.05	0.8377	0.01837	2401	0.2737	1962190.19	2274351406.32	0.82378	-0.41779	1468839	3.39e-30
Introns	1132.31	3023.53	0.84825	0.75733	1914	1.286e-34	816498.34	2050445025.87	0.86367	0.36628	1052487	8.001e-07
Promoters	188.28	302.88	0.90702	2.85904	1366	1.651e-295	123836.09	161594669.91	0.9089	3.59504	1496452	0.0
Terminator	191.04	272.79	0.85358	1.10873	412	6.328999999999999e-29	127178.02	189179462.35	0.83967	0.99987	254333	1.71e-13
