mRNA_size	coding_prob
ENST00000624697	0.648697862393
ENST00000624652	0.706168516646
ENST00000379389	0.656344401577
ENST00000338370	0
ENST00000338338	0.199701684651
ENST00000321751	0
ENST00000378853	0
ENST00000489799	0
ENST00000496905	0
ENST00000378602	0
ENST00000310991	0.638416887432
ENST00000378598	0
ENST00000470931	0.638416887432
ENST00000602604	0.638416887432
ENST00000416272	0
ENST00000400919	0.063756491333
ENST00000469733	-0.052174980437
ENST00000414253	0.296762630203
ENST00000428120	-0.0707614071504
ENST00000400918	0.296762630203
ENST00000497675	-0.0136543691541
ENST00000378546	0.296762630203
ENST00000378543	0.063756491333
ENST00000401813	0
ENST00000487186	0.481295120713
ENST00000476803	-0.0707614071504
ENST00000440825	0
ENST00000420515	-0.0707614071504
ENST00000514625	0.210227250656
ENST00000420964	0
ENST00000609981	0.549149808566
ENST00000449969	0.563922503026
ENST00000419816	0.538584848434
ENST00000378486	0.539569614083
ENST00000343889	0.524908738989
ENST00000278878	0.531501993652
ENST00000473964	0.255191152864
ENST00000462379	0.399512967858
ENST00000511072	0.577235316064
ENST00000607632	0.483590897685
ENST00000378391	0.555773272469
ENST00000514189	0.577108709164
ENST00000270722	0.549263964888
ENST00000512462	0.555265885909
ENST00000463591	-0.17585411448
ENST00000509860	0.541968040246
ENST00000378389	-0.0282190186716
ENST00000606170	0.366947340795
ENST00000378322	0
ENST00000270708	0
ENST00000471223	0.0652623112655
ENST00000424367	0
ENST00000497940	-0.209728434261
ENST00000469643	0.30094907926
ENST00000494884	0.237367975438
ENST00000465916	0
ENST00000419924	0
ENST00000479331	0
ENST00000377837	0.573611631003
ENST00000377836	0.573611631003
ENST00000471190	0.118796862227
ENST00000377834	0.573611631003
ENST00000487437	0.573611631003
ENST00000489730	0.573611631003
ENST00000635687	0
ENST00000385130	0
ENST00000635405	0.303670594435
ENST00000437157	0.0231802214312
ENST00000253251	0.246790610423
ENST00000377153	0.112469612604
ENST00000343090	0.226590059002
ENST00000462658	0.266483558419
ENST00000475795	0.143730838188
ENST00000470736	0.130947009917
ENST00000466379	0.17678031837
ENST00000488228	0.468665459224
ENST00000487244	0.492359499872
ENST00000465408	0.675489626951
ENST00000358897	0.389275872294
ENST00000433640	0.184793421819
ENST00000375998	0.389275872294
ENST00000462113	0.200154731773
ENST00000375996	0.336492935196
ENST00000375997	0.353430352459
