feature_type	nb_intersections_expectation_shuffled	nb_intersections_variance_shuffled	nb_intersections_negbinom_fit_quality	nb_intersections_log2_fold_change	nb_intersections_true	nb_intersections_pvalue	summed_bp_overlaps_expectation_shuffled	summed_bp_overlaps_variance_shuffled	summed_bp_overlaps_negbinom_fit_quality	summed_bp_overlaps_log2_fold_change	summed_bp_overlaps_true	summed_bp_overlaps_pvalue
gene	6853.82	122350.74	0.8813	0.8952899999999999	12748	1.15e-42	2099646.75	11535251189.68	0.85895	0.9088	3942041	1.8829999999999996e-43
transcript	6857.08	125302.23	0.86636	0.8946	12748	1.1329999999999998e-41	2099359.21	11892860290.21	0.87229	0.90899	3942041	3.2239999999999996e-42
exon	959.13	3360.53	0.91817	1.9173900000000001	3623	1.6139999999999994e-191	153521.99	134109416.2	0.90659	1.8639700000000001	558832	1.3469999999999995e-105
CDS	420.25	1453.04	0.8014600000000001	2.41675	2244	1.7099999999999997e-159	48143.22	24278257.05	0.8979299999999999	2.48612	269732	3.022999999999999e-122
start_codon	36.47	35.53	0.8892	1.2378200000000001	86	2.247e-12	108.42	314.06	0.8700600000000001	1.23387	255	7.325e-11
stop_codon	36.09	37.78	0.87093	2.41913	193	5.118999999999999e-69	107.22	336.49	0.88339	2.42556	576	1.2679999999999997e-47
five_prime_utr	82.77	120.27	0.87605	0.79898	144	3.732e-07	8070.44	2612025.89	0.83606	0.8439399999999999	14486	0.0004832
three_prime_utr	182.78	725.43	0.8668600000000001	2.04832	756	8.061e-40	41437.02	52453584.14	0.8568	1.90665	155363	1.2419999999999998e-22
Intergenic	15242.35	144785.92	0.88164	-0.68118	9506	8.480999999999997e-68	4703377.12	14043910160.13	0.86992	-0.71627	2862794	3.023999999999999e-74
Introns	6685.8	136018.21	0.8889299999999999	0.97293	13123	6.497000000000001e-44	1958783.54	12473076125.34	0.8915	0.78843	3383209	2.239e-26
Promoters	1063.42	4492.58	0.84524	0.46316999999999997	1466	2.266e-08	300851.19	394410766.31	0.87365	0.47989	419578	4.251e-08
Terminator	1074.65	4085.28	0.7838	1.18656	2446	1.4779999999999997e-61	302872.7	352868850.23	0.88546	1.27696	733946	2.9409999999999995e-63
